"cap_int_pfk";"cam_info_adici_consumo";"int_tsu_cd"
"172954";"Nenhum Outro Uso";"Subterrânea"
"172955";"Consumo Humano";"Subterrânea"
"172956";"Nenhum Outro Uso";"Subterrânea"
"172957";"Nenhum Outro Uso";"Subterrânea"
"172958";"Nenhum Outro Uso";"Subterrânea"
"172959";"Nenhum Outro Uso";"Subterrânea"
"172960";"Nenhum Outro Uso";"Subterrânea"
"172961";"Consumo Humano";"Subterrânea"
"172962";"Consumo Humano";"Subterrânea"
"172963";"Nenhum Outro Uso";"Subterrânea"
"172964";"Nenhum Outro Uso";"Subterrânea"
"172965";"Consumo Humano";"Subterrânea"
"172966";"Nenhum Outro Uso";"Subterrânea"
"172967";"Nenhum Outro Uso";"Subterrânea"
"172968";"Nenhum Outro Uso";"Subterrânea"
"172969";"Nenhum Outro Uso";"Subterrânea"
"172970";"Nenhum Outro Uso";"Subterrânea"
"172971";"Nenhum Outro Uso";"Subterrânea"
"172972";"Nenhum Outro Uso";"Subterrânea"
"172973";"Consumo Humano";"Subterrânea"
"172974";"Consumo Humano";"Subterrânea"
"172975";"Nenhum Outro Uso";"Subterrânea"
"172976";"Consumo Humano";"Subterrânea"
"172977";"Consumo Humano";"Subterrânea"
"172978";"Nenhum Outro Uso";"Subterrânea"
"172979";"Consumo Humano";"Subterrânea"
"172980";"Nenhum Outro Uso";"Subterrânea"
"172981";"Consumo Humano/Pecuária";"Subterrânea"
"172982";"Consumo Humano/Pecuária";"Subterrânea"
"172983";"Consumo Humano/Pecuária";"Subterrânea"
"172984";"Consumo Humano/Pecuária";"Subterrânea"
"172985";"Consumo Humano";"Subterrânea"
"172986";"Consumo Humano";"Subterrânea"
"172987";"Consumo Humano/Pecuária";"Subterrânea"
"172988";"Consumo Humano";"Subterrânea"
"172989";"Consumo Humano";"Subterrânea"
"172990";"Consumo Humano";"Subterrânea"
"172991";"Pecuária";"Subterrânea"
"172992";"Pecuária";"Subterrânea"
"172993";"Nenhum Outro Uso";"Subterrânea"
"172994";"Nenhum Outro Uso";"Subterrânea"
"172995";"Pecuária";"Subterrânea"
"172996";"Pecuária";"Subterrânea"
"172997";"Nenhum Outro Uso";"Subterrânea"
"172998";"Pecuária";"Subterrânea"
"172999";"Nenhum Outro Uso";"Subterrânea"
"173000";"Nenhum Outro Uso";"Subterrânea"
"173001";"Nenhum Outro Uso";"Subterrânea"
"173002";"Nenhum Outro Uso";"Subterrânea"
"173003";"Consumo Humano/Nenhum Outro Uso";"Subterrânea"
"173004";"Nenhum Outro Uso";"Subterrânea"
"173005";"Nenhum Outro Uso";"Subterrânea"
"173006";"Nenhum Outro Uso";"Subterrânea"
"173007";"Nenhum Outro Uso";"Subterrânea"
"173008";"Nenhum Outro Uso";"Subterrânea"
"173009";"Nenhum Outro Uso";"Subterrânea"
"173010";"Nenhum Outro Uso";"Subterrânea"
"173011";"Nenhum Outro Uso";"Subterrânea"
