"emp_id";"emp_nm_empreendimento";"cam_ar_total";"cam_ar_total_uni";"cam_end_propriedade";"cam_tp_logradouro";"cam_nm_logradouro";"cam_nu_endereco";"cam_complemento_end";"cam_acesso_principal_end";"apa_local";"cam_caixapostal_end";"cam_cep_end";"apa_muni_empreendimento";"ing_nu_ibgemunicipio";"out_nu_processo_ana";"usuario_id"
"30499";"Sítio do Sr. Simião";"7.5";"HectareNão possui";"Igual ao endereço de correspondência";"Engenho";"Bom Conselho";"0";"Zona Rural";"Não consta";"Assentamento Cícero Gomes";"";"55515-000";"Amaraji";"N/C";"Não consta";"37857"
"30500";"Sítio da Edileuza";"11.0";"HectareNão possui";"Igual ao endereço de correspondência";"Engenho";"Colônia";"0";"Não consta";"Não consta";"Zona Rural";"";"55500-000";"Escada";"N/C";"Não consta";"37858"
"30501";"Sítio São Vicente";"18.0";"HectareNão possui";"Igual ao endereço de correspondência";"Engenho";"Guloso";"0";"Não consta";"Não consta";"Zona Rural";"";"55515-000";"Amaraji";"N/C";"Não consta";"37859"
"30502";"Sítio Guloso";"4.0";"HectareNão possui";"Igual ao endereço de correspondência";"Engenho";"Guloso";"0";"Não consta";"Não consta";"Zona Rural";"";"55515-000";"Amaraji";"N/C";"Não consta";"37860"
"30503";"Sítio São Severino";"20.0";"HectareNão possui";"Igual ao endereço de correspondência";"SítioNão se aplica";"São Severino";"0";"Não consta";"Não consta";"Zona Rural";"";"55515-000";"Amaraji";"N/C";"Não consta";"37861"
"30504";"Sítio Boa Sorte";"16.5";"HectareNão possui";"Igual ao endereço de correspondência";"SítioNão se aplica";"Boa Sorte";"0";"Não consta";"Não consta";"Zona Rural";"";"55515-000";"Amaraji";"N/C";"Não consta";"37862"
"30505";"Sítio Boa Vista";"13.6";"HectareNão possui";"Igual ao endereço de correspondência";"SítioNão se aplica";"Boa Vista";"0";"Não consta";"Não consta";"Zona Rural";"";"55515-000";"Amaraji";"N/C";"Não consta";"37863"
"30506";"Sítio São Sebastião";"10.0";"HectareNão possui";"Igual ao endereço de correspondência";"SítioNão se aplica";"São Sebastião";"0";"Não consta";"Não consta";"Zona Rural";"";"55515-000";"Amaraji";"N/C";"Não consta";"37864"
"30507";"Sítio Santa Cruz";"50.0";"HectareNão possui";"Igual ao endereço de correspondência";"SítioNão se aplica";"Santa Cruz";"0";"Não consta";"Não consta";"Zona Rural";"";"55515-000";"Amaraji";"N/C";"Não consta";"37865"
"30508";"Sítio Laranjeira";"12.3";"HectareNão possui";"Igual ao endereço de correspondência";"SítioNão se aplica";"Laranjeira";"0";"Não consta";"Não consta";"Zona Rural";"";"55515-000";"Amaraji";"N/C";"Não consta";"37867"
"30509";"Sítio Jurubeba";"135.0";"HectareNão possui";"Igual ao endereço de correspondência";"FazendaNão se aplica";"São Jorge";"0";"Não consta";"Não consta";"Caruaru";"";"55000-000";"Caruaru";"N/C";"Não consta";"37868"
