"int_id";"apa_est_hidrologico";"fot_cap_lanc_geral";"int_cr_latitude";"int_cr_longitude";"fot_cap_lanc_detalhe";"fot_croqui_localizacao";"apa_curso_barragem";"apa_curso";"apa_presenca_barramento";"apa_barragem";"apa_cap_maxacumula";"apa_bacia";"cnarh_id";"out_nu_processo";"emp_id";"int_tsi_cd";"fin_tfn_cd";"fou_tou_cd";"int_tin_cd";"fou_tou_tp_outro"
"172954";"f";"1534775075756.jpg";"-8.2564520000";"-35.4302880000";"1534774802218.jpg";"1534775198848.jpg";"Curso d''água";"Riacho Rocha Grande";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30499";"Operação";"Irrigação";"";"Captação";""
"172955";"f";"1532717608468.jpg";"-8.3153509000";"-35.3491501000";"1532717726695.jpg";"1532717860407.jpg";"Curso d''água";"Nascente do Engenho Colônia";"t";"Não identificado/consta";"0.00000";"N/C";"";"";"30500";"Operação";"Consumo Humano";"";"Captação";""
"172956";"f";"1531581884040.jpg";"-8.3252667000";"-35.4210560000";"1531581932282.jpg";"1531581954729.jpg";"Curso d''água";"Riacho Guloso";"t";"Não identificado/consta";"0.00000";"N/C";"";"";"30501";"Operação";"Irrigação";"";"Captação";""
"172957";"f";"1531589328663.jpg";"-8.3422096000";"-35.4282978000";"1531589369556.jpg";"1531589423009.jpg";"Curso d''água";"Riacho Guloso";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30502";"Desativada";"Irrigação";"";"Captação";""
"172958";"f";"1531589328663.jpg";"-8.3422096000";"-35.4282978000";"1531589369556.jpg";"1531589423009.jpg";"Curso d''água";"Riacho Guloso";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30502";"Desativada";"Irrigação";"";"Captação";""
"172959";"f";"1531594702566.jpg";"-8.3396916000";"-35.4279103000";"1531594848674.jpg";"1531591280798.jpg";"Curso d''água";"Riacho do Guloso";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30503";"Operação";"Outras";"";"Captação";""
"172960";"f";"1531584429130.jpg";"-8.3304320000";"-35.4259259000";"1531584608107.jpg";"1531584766258.jpg";"Curso d''água";"Riacho do Guloso";"t";"Não identificado/consta";"0.00000";"N/C";"";"";"30504";"Operação";"Irrigação";"";"Captação";""
"172961";"f";"1531583265186.jpg";"-8.3254167000";"-35.4231565000";"1531583304589.jpg";"1531583336868.jpg";"Curso d''água";"Riacho do Guloso";"t";"Não identificado/consta";"0.00000";"N/C";"";"";"30505";"Operação";"Consumo Humano";"";"Captação";""
"172962";"f";"1531587972378.jpg";"-8.3362172000";"-35.4255689000";"1531587934762.jpg";"1531588049456.jpg";"Curso d''água";"Riacho do Guloso";"t";"Não identificado/consta";"0.00000";"N/C";"";"";"30506";"Operação";"Consumo Humano";"";"Captação";""
"172963";"f";"1531581371556.jpg";"-8.3271244000";"-35.4201989000";"1531581414811.jpg";"1531581456258.jpg";"Curso d''água";"Riacho do Guloso";"t";"Não identificado/consta";"0.00000";"N/C";"";"";"30507";"Operação";"Irrigação";"";"Captação";""
"172964";"f";"1531579667825.jpg";"-8.3258010000";"-35.4195869000";"1531579730560.jpg";"1531579789984.jpg";"Curso d''água";"Riacho do Guloso";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30507";"Operação";"Irrigação";"";"Captação";""
"172965";"f";"1531582512516.jpg";"-8.3251183000";"-35.4232349000";"1531582670171.jpg";"1531582644153.jpg";"Curso d''água";"Riacho do Guloso";"t";"Não identificado/consta";"0.00000";"N/C";"";"";"30508";"Operação";"Consumo Humano";"";"Captação";""
"172966";"f";"1531566532274.jpg";"-8.3105501000";"-35.8292123000";"1531566591266.jpg";"1531566902860.jpg";"Curso d''água";"Riacho Jurubeba";"t";"Não identificado/consta";"0.00000";"N/C";"";"";"30509";"Operação";"Irrigação";"";"Captação";""
"172967";"f";"1531663892363.jpg";"-8.3184694000";"-35.8707706000";"1531663866701.jpg";"1531665509956.jpg";"Curso d''água";"Rio Ipojuca";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30510";"Desativada";"Irrigação";"";"Captação";""
"172968";"f";"1531659955737.jpg";"-8.3195234000";"-35.8724518000";"1531659983089.jpg";"1531660080630.jpg";"Curso d''água";"Rio Ipojuca";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30511";"Operação";"Irrigação";"";"Captação";""
"172969";"f";"1531765946918.jpg";"-8.2685819000";"-35.8913088000";"1531766141253.jpg";"1531770084997.jpg";"Curso d''água";"Rio Ipojuca";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30512";"Operação";"Irrigação";"";"Captação";""
"172970";"f";"1531766276572.jpg";"-8.2682332000";"-35.8917760000";"1531766338429.jpg";"1531766400879.jpg";"Curso d''água";"Rio Ipojuca";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30512";"Operação";"Irrigação";"";"Captação";""
"172971";"f";"1531769114455.jpg";"-8.2694968000";"-35.8867631000";"1531769145804.jpg";"1531769572661.jpg";"Curso d''água";"Rio Ipojuca";"f";"Não identificado/consta";"0.00000";"N/C";"";"";"30512";"Operação";"Irrigação";"";"Captação";""
