"oi_emp_pfk";"cam_agua_servida_destino";"cam_captacao_agua_subt";"cam_tp_poco";"cam_profundidade_poco";"asb_nu_profundidadefinal";"cam_utilizacao_poco";"cam_realizacao_car";"cam_captacoes_comple";"cam_capta_lanca_futuro"
"30499";"Fossa Séptica/Lançamento no Solo";"t";"Tubular";"De 5 a 10 metros";"";"Poço Ativo";"Não realizado";"Nascente";"Não consta"
"30500";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar/Nascente";"Não consta"
"30501";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30502";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30503";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30504";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30505";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30506";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30507";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Poço";"Não consta"
"30508";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30509";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30510";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30511";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30512";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Água de Consumo de Poço";"Não consta"
"30513";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30514";"Fossa negra";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30515";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30516";"Lançamento em Curso d''água";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30517";"Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30518";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30519";"Fossa negra/Lançamento em Curso d''água";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30520";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30521";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30522";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30523";"Lançamento no Solo";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Não existe captação complementar";"Não consta"
"30524";"Fossa negra";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30525";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30526";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
"30527";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30528";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30529";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30530";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Nascente";"Não consta"
"30531";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Realizado";"Poço";"Criação de um Poço Artesiano ou Barreiro"
"30532";"Fossa Séptica";"t";"Cacimba";"Menor que 5 metros";"";"Poço Ativo";"Não realizado";"Poço";"Não consta"
"30533";"Fossa Séptica";"f";"";"";"";"";"Realizado";"Poço";"Não consta"
"30534";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30535";"Fossa Séptica";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
"30536";"Lançamento no Solo";"f";"";"";"";"";"Realizado";"Não existe captação complementar";"Não consta"
"30537";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30538";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Nascente";"Não consta"
"30539";"Lançamento no Solo";"f";"";"";"";"";"Não realizado";"Não existe captação complementar";"Não consta"
