"pec_int_pfk";"cam_qt_equideo";"cam_qt_bovino";"cam_qt_ovino";"cam_qt_caprino";"cam_qt_suino";"cam_qt_ave";"cam_pec_outro";"cam_qt_outro"
"172954";"";"";"";"";"";"";"";""
"172956";"";"";"";"";"";"";"";""
"172957";"";"";"";"";"";"";"";""
"172958";"";"";"";"";"";"";"";""
"172960";"";"";"";"";"";"";"";""
"172963";"";"";"";"";"";"";"";""
"172964";"";"";"";"";"";"";"";""
"172966";"";"";"";"";"";"";"";""
"172967";"";"";"";"";"";"";"";""
"172968";"";"";"";"";"";"";"";""
"172969";"";"";"";"";"";"";"";""
"172970";"";"";"";"";"";"";"";""
"172971";"";"";"";"";"";"";"";""
"172972";"";"";"";"";"";"";"";""
"172975";"";"";"";"";"";"";"";""
"172980";"";"";"";"";"";"";"";""
"172981";"2";"6";"10";"6";"8";"20";"";""
"172982";"2";"5";"0";"5";"0";"20";"";""
"172983";"1";"2";"0";"0";"0";"20";"";""
"172984";"0";"0";"0";"0";"0";"20";"";""
"172985";"";"";"";"";"";"";"";""
"172986";"";"";"";"";"";"";"";""
"172987";"3";"4";"2";"5";"5";"20";"";""
"172988";"";"";"";"";"";"";"";""
"172989";"";"";"";"";"";"";"";""
"172990";"";"";"";"";"";"";"";""
"172991";"1";"8";"0";"0";"0";"0";"";""
"172992";"0";"0";"0";"0";"0";"50";"";""
"172993";"";"";"";"";"";"";"";""
"172994";"";"";"";"";"";"";"";""
"172995";"0";"0";"0";"0";"0";"50";"";""
"172997";"";"";"";"";"";"";"";""
"172999";"";"";"";"";"";"";"";""
"173000";"";"";"";"";"";"";"";""
"173001";"";"";"";"";"";"";"";""
"173002";"";"";"";"";"";"";"";""
"173004";"";"";"";"";"";"";"";""
"173005";"";"";"";"";"";"";"";""
"173006";"";"";"";"";"";"";"";""
"173007";"";"";"";"";"";"";"";""
"173008";"";"";"";"";"";"";"";""
"173009";"";"";"";"";"";"";"";""
"173010";"";"";"";"";"";"";"";""
"173011";"";"";"";"";"";"";"";""
"173012";"";"";"";"";"";"";"";""
"173013";"";"";"";"";"";"";"";""
"173015";"";"";"";"";"";"";"";""
"173016";"";"";"";"";"";"";"";""
"173017";"";"";"";"";"";"";"";""
"173018";"";"";"";"";"";"";"";""
"173019";"";"";"";"";"";"";"";""
"173020";"";"";"";"";"";"";"";""
"173021";"";"";"";"";"";"";"";""
"173022";"";"";"";"";"";"";"";""
"173024";"3";"5";"0";"0";"0";"20";"";""
"173025";"1";"5";"4";"0";"0";"35";"";""
"173026";"0";"1";"0";"0";"0";"30";"";""
"173027";"2";"8";"0";"0";"0";"20";"";""
"173028";"3";"5";"4";"5";"1";"30";"";""
"173029";"";"";"";"";"";"";"";""
"173030";"0";"6";"0";"0";"0";"20";"";""
"173031";"0";"5";"0";"0";"0";"15";"";""
"173032";"";"";"";"";"";"";"";""
"173033";"";"";"";"";"";"";"";""
"173034";"0";"3";"15";"0";"0";"20";"";""
"173035";"0";"6";"20";"0";"0";"30";"";""
"173036";"";"";"";"";"";"";"";""
"173037";"";"";"";"";"";"";"";""
"173038";"";"";"";"";"";"";"";""
"173039";"0";"139";"0";"0";"0";"0";"";""
"173040";"80";"5";"27";"0";"0";"0";"";""
"173041";"";"";"";"";"";"";"";""
"173043";"";"";"";"";"";"";"";""
"173046";"";"";"";"";"";"";"";""
"173048";"";"";"";"";"";"";"";""
"173049";"";"";"";"";"";"";"";""
"173050";"";"";"";"";"";"";"";""
"173051";"";"";"";"";"";"";"";""
"173052";"";"";"";"";"";"";"";""
"173053";"";"";"";"";"";"";"";""
"173054";"";"";"";"";"";"";"";""
"173056";"";"";"";"";"";"";"";""
"173057";"";"";"";"";"";"";"";""
"173059";"";"";"";"";"";"";"";""
"173066";"";"";"";"";"";"";"";""
"173067";"";"";"";"";"";"";"";""
"173070";"";"";"";"";"";"";"";""
"173071";"";"";"";"";"";"";"";""
"173072";"";"";"";"";"";"";"";""
"173073";"";"";"";"";"";"";"";""
"173074";"";"";"";"";"";"";"";""
"173075";"2";"19";"0";"0";"0";"0";"";""
"173076";"";"";"";"";"";"";"";""
"173077";"0";"15";"0";"0";"0";"0";"";""
"173078";"1";"5";"0";"12";"0";"10";"";""
"173079";"1";"0";"0";"0";"0";"15";"";""
"173080";"0";"3";"15";"0";"14";"100";"";""
"173081";"0";"0";"0";"0";"0";"20";"";""
"173082";"";"";"";"";"";"";"";""
"173083";"0";"2";"0";"0";"0";"0";"";""
"173084";"5";"250";"0";"0";"0";"0";"";""
"173085";"125";"22";"0";"0";"0";"0";"";""
"173086";"";"";"";"";"";"";"";""
"173087";"";"";"";"";"";"";"";""
"173088";"";"";"";"";"";"";"";""
"173089";"";"";"";"";"";"";"";""
"173090";"";"";"";"";"";"";"";""
"173091";"2";"6";"0";"0";"21";"0";"";""
"173092";"20";"0";"0";"0";"0";"10";"";""
"173093";"25";"10";"0";"0";"0";"0";"";""
"173094";"";"";"";"";"";"";"";""
"173095";"50";"10";"30";"30";"10";"0";"";""
"173096";"0";"2";"4";"0";"0";"10";"";""
"173097";"2";"3";"0";"5";"0";"0";"";""
"173098";"";"";"";"";"";"";"";""
"173099";"";"";"";"";"";"";"";""
"173100";"";"";"";"";"";"";"";""
"173101";"";"";"";"";"";"";"";""
"173102";"";"";"";"";"";"";"";""
"173103";"";"";"";"";"";"";"";""
"173104";"";"";"";"";"";"";"";""
"173105";"";"";"";"";"";"";"";""
"173106";"";"";"";"";"";"";"";""
"173107";"";"";"";"";"";"";"";""
"173108";"0";"0";"0";"0";"5";"50";"";""
"173109";"0";"0";"0";"0";"5";"50";"";""
"173110";"";"";"";"";"";"";"";""
"173112";"";"";"";"";"";"";"";""
"173113";"";"";"";"";"";"";"";""
"173114";"";"";"";"";"";"";"";""
"173115";"";"";"";"";"";"";"";""
"173116";"";"";"";"";"";"";"";""
"173117";"";"";"";"";"";"";"";""
"173118";"";"";"";"";"";"";"";""
"173119";"";"";"";"";"";"";"";""
"173120";"";"";"";"";"";"";"";""
"173122";"";"";"";"";"";"";"";""
"173124";"";"";"";"";"";"";"";""
"173125";"";"";"";"";"";"";"";""
"173126";"";"";"";"";"";"";"";""
"173131";"";"";"";"";"";"";"";""
"173132";"";"";"";"";"";"";"";""
"173133";"";"";"";"";"";"";"";""
"173134";"";"";"";"";"";"";"";""
"173136";"";"";"";"";"";"";"";""
"173137";"";"";"";"";"";"";"";""
"173138";"";"";"";"";"";"";"";""
"173139";"";"";"";"";"";"";"";""
"173140";"";"";"";"";"";"";"";""
"173141";"";"";"";"";"";"";"";""
"173142";"";"";"";"";"";"";"";""
"173143";"";"";"";"";"";"";"";""
"173144";"";"";"";"";"";"";"";""
"173145";"";"";"";"";"";"";"";""
"173146";"";"";"";"";"";"";"";""
"173152";"";"";"";"";"";"";"";""
"173153";"";"";"";"";"";"";"";""
"173154";"0";"1";"0";"7";"0";"40";"";""
"173155";"0";"8";"0";"0";"0";"30";"";""
"173156";"5";"25";"0";"0";"8";"0";"";""
"173157";"8";"160";"30";"0";"0";"0";"";""
"173158";"2";"4";"1";"0";"0";"10";"";""
"173159";"0";"0";"0";"25";"0";"25";"";""
"173160";"";"";"";"";"";"";"";""
"173161";"";"";"";"";"";"";"";""
"173162";"";"";"";"";"";"";"";""
"173163";"2";"15";"0";"0";"0";"35";"";""
"173164";"0";"6";"0";"0";"4";"30";"";""
"173166";"";"";"";"";"";"";"";""
"173167";"5";"4";"0";"0";"0";"20";"";""
"173168";"7";"80";"30";"0";"0";"100";"";""
"173169";"";"";"";"";"";"";"";""
"173171";"2";"23";"0";"1";"1";"0";"";""
"173172";"0";"0";"0";"1";"0";"15";"";""
"173173";"";"";"";"";"";"";"";""
"173174";"";"";"";"";"";"";"";""
"173175";"";"";"";"";"";"";"";""
"173176";"";"";"";"";"";"";"";""
"173177";"";"";"";"";"";"";"";""
"173178";"";"";"";"";"";"";"";""
"173179";"";"";"";"";"";"";"";""
"173180";"";"";"";"";"";"";"";""
"173181";"";"";"";"";"";"";"";""
"173182";"5";"0";"0";"2";"0";"31";"";""
"173185";"";"";"";"";"";"";"";""
"173186";"";"";"";"";"";"";"";""
"173187";"";"";"";"";"";"";"";""
"173188";"2";"2";"2";"2";"3";"7";"";""
"173189";"1";"5";"0";"0";"0";"15";"";""
"173190";"5";"10";"5";"1";"3";"10";"";""
"173191";"";"";"";"";"";"";"";""
"173192";"0";"2";"0";"0";"0";"0";"";""
"173193";"2";"40";"0";"0";"0";"0";"";""
"173194";"0";"2";"20";"0";"0";"0";"";""
"173195";"1";"0";"0";"0";"0";"0";"";""
"173196";"";"";"";"";"";"";"";""
"173197";"1";"5";"0";"0";"5";"0";"";""
"173198";"";"";"";"";"";"";"";""
"173199";"0";"3";"0";"0";"0";"70";"";""
"173200";"0";"0";"0";"2";"0";"5";"";""
"173202";"";"";"";"";"";"";"";""
"173203";"1";"0";"0";"0";"0";"50";"";""
"173204";"0";"1";"0";"0";"0";"10";"";""
"173205";"";"";"";"";"";"";"";""
"173206";"";"";"";"";"";"";"";""
"173207";"";"";"";"";"";"";"";""
"173208";"0";"3";"0";"0";"0";"0";"";""
"173209";"";"";"";"";"";"";"";""
"173210";"0";"4";"0";"0";"0";"16";"";""
"173211";"";"";"";"";"";"";"";""
"173212";"";"";"";"";"";"";"";""
"173213";"";"";"";"";"";"";"";""
"173214";"";"";"";"";"";"";"";""
"173215";"1";"0";"0";"0";"0";"5";"";""
"173216";"";"";"";"";"";"";"";""
"173217";"";"";"";"";"";"";"";""
"173218";"";"";"";"";"";"";"";""
"173219";"";"";"";"";"";"";"";""
"173220";"";"";"";"";"";"";"";""
"173221";"";"";"";"";"";"";"";""
"173222";"";"";"";"";"";"";"";""
"173223";"";"";"";"";"";"";"";""
"173224";"";"";"";"";"";"";"";""
"173225";"";"";"";"";"";"";"";""
"173226";"";"";"";"";"";"";"";""
"173227";"";"";"";"";"";"";"";""
"173228";"";"";"";"";"";"";"";""
"173229";"";"";"";"";"";"";"";""
"173230";"";"";"";"";"";"";"";""
"173232";"0";"2";"20";"0";"0";"30";"";""
"173233";"";"";"";"";"";"";"";""
"173234";"0";"10";"0";"0";"0";"0";"";""
"173235";"";"";"";"";"";"";"";""
"173236";"";"";"";"";"";"";"";""
"173237";"";"";"";"";"";"";"";""
"173238";"1";"0";"0";"2";"0";"0";"";""
"173239";"";"";"";"";"";"";"";""
"173240";"";"";"";"";"";"";"";""
"173241";"";"";"";"";"";"";"";""
"173242";"";"";"";"";"";"";"";""
"173243";"";"";"";"";"";"";"";""
"173246";"";"";"";"";"";"";"";""
"173247";"";"";"";"";"";"";"";""
"173248";"";"";"";"";"";"";"";""
"173249";"";"";"";"";"";"";"";""
"173250";"";"";"";"";"";"";"";""
"173251";"";"";"";"";"";"";"";""
"173252";"";"";"";"";"";"";"";""
"173253";"";"";"";"";"";"";"";""
"173254";"4";"60";"50";"0";"60";"30";"";""
"173255";"";"";"";"";"";"";"";""
"173257";"";"";"";"";"";"";"";""
"173260";"";"";"";"";"";"";"";""
"173261";"";"";"";"";"";"";"";""
"173262";"";"";"";"";"";"";"";""
"173263";"";"";"";"";"";"";"";""
"173264";"";"";"";"";"";"";"";""
"173265";"";"";"";"";"";"";"";""
"173266";"";"";"";"";"";"";"";""
"173267";"";"";"";"";"";"";"";""
"173268";"";"";"";"";"";"";"";""
"173269";"";"";"";"";"";"";"";""
"173270";"";"";"";"";"";"";"";""
"173271";"0";"0";"0";"0";"0";"30";"";""
"173272";"0";"0";"10";"0";"0";"10";"";""
"173273";"";"";"";"";"";"";"";""
"173274";"0";"10";"0";"0";"0";"0";"";""
"173276";"0";"0";"3";"5";"0";"15";"";""
"173277";"0";"0";"14";"5";"0";"20";"";""
"173278";"";"";"";"";"";"";"";""
"173279";"";"";"";"";"";"";"";""
"173282";"";"";"";"";"";"";"";""
"173283";"";"";"";"";"";"";"";""
"173284";"";"";"";"";"";"";"";""
"173286";"";"";"";"";"";"";"";""
"173287";"";"";"";"";"";"";"";""
"173288";"";"";"";"";"";"";"";""
"173291";"";"";"";"";"";"";"";""
"173293";"";"";"";"";"";"";"";""
"173294";"";"";"";"";"";"";"";""
"173295";"";"";"";"";"";"";"";""
"173296";"";"";"";"";"";"";"";""
"173297";"";"";"";"";"";"";"";""
"173298";"";"";"";"";"";"";"";""
"173299";"";"";"";"";"";"";"";""
"173300";"0";"0";"0";"0";"0";"32";"";""
"173301";"";"";"";"";"";"";"";""
"173305";"";"";"";"";"";"";"";""
"173306";"";"";"";"";"";"";"";""
"173307";"";"";"";"";"";"";"";""
"173308";"";"";"";"";"";"";"";""
"173309";"";"";"";"";"";"";"";""
"173311";"1";"0";"0";"3";"0";"16";"";""
"173312";"";"";"";"";"";"";"";""
"173313";"";"";"";"";"";"";"";""
"173314";"";"";"";"";"";"";"";""
"173315";"";"";"";"";"";"";"";""
"173316";"";"";"";"";"";"";"";""
"173317";"";"";"";"";"";"";"";""
"173318";"";"";"";"";"";"";"";""
"173319";"";"";"";"";"";"";"";""
"173320";"0";"5";"0";"0";"0";"0";"";""
"173321";"";"";"";"";"";"";"";""
"173322";"0";"0";"0";"0";"0";"20";"";""
"173323";"";"";"";"";"";"";"";""
"173324";"";"";"";"";"";"";"";""
"173325";"";"";"";"";"";"";"";""
"173326";"";"";"";"";"";"";"";""
"173327";"0";"0";"0";"0";"0";"70";"";""
"173328";"";"";"";"";"";"";"";""
"173329";"1";"2";"0";"0";"0";"15";"";""
"173330";"2";"14";"0";"0";"0";"0";"";""
"173331";"";"";"";"";"";"";"";""
"173332";"0";"0";"2";"0";"0";"0";"";""
"173333";"";"";"";"";"";"";"";""
"173334";"";"";"";"";"";"";"";""
"173338";"";"";"";"";"";"";"";""
"173339";"";"";"";"";"";"";"";""
"173340";"";"";"";"";"";"";"";""
"173341";"";"";"";"";"";"";"";""
"173342";"";"";"";"";"";"";"";""
"173343";"0";"0";"0";"0";"15";"10";"";""
"173346";"";"";"";"";"";"";"";""
"173347";"";"";"";"";"";"";"";""
"173349";"";"";"";"";"";"";"";""
"173350";"";"";"";"";"";"";"";""
"173351";"";"";"";"";"";"";"";""
"173352";"";"";"";"";"";"";"";""
"173353";"";"";"";"";"";"";"";""
"173354";"";"";"";"";"";"";"";""
"173355";"1";"4";"0";"0";"0";"0";"";""
"173356";"";"";"";"";"";"";"";""
"173357";"";"";"";"";"";"";"";""
"173358";"";"";"";"";"";"";"";""
"173359";"";"";"";"";"";"";"";""
"173360";"";"";"";"";"";"";"";""
"173361";"";"";"";"";"";"";"";""
"173363";"";"";"";"";"";"";"";""
"173364";"";"";"";"";"";"";"";""
"173365";"";"";"";"";"";"";"";""
"173366";"";"";"";"";"";"";"";""
"173367";"";"";"";"";"";"";"";""
"173368";"";"";"";"";"";"";"";""
"173369";"";"";"";"";"";"";"";""
"173370";"";"";"";"";"";"";"";""
"173371";"0";"4";"0";"0";"0";"15";"";""
"173372";"2";"2";"0";"0";"0";"20";"";""
"173374";"0";"4";"0";"0";"0";"17";"";""
"173375";"0";"0";"0";"0";"0";"25";"";""
"173376";"";"";"";"";"";"";"";""
"173377";"";"";"";"";"";"";"";""
"173378";"";"";"";"";"";"";"";""
"173379";"";"";"";"";"";"";"";""
"173380";"";"";"";"";"";"";"";""
"173383";"";"";"";"";"";"";"";""
"173384";"";"";"";"";"";"";"";""
"173385";"";"";"";"";"";"";"";""
"173386";"";"";"";"";"";"";"";""
"173388";"";"";"";"";"";"";"";""
"173389";"";"";"";"";"";"";"";""
"173391";"0";"0";"0";"0";"5";"0";"";""
"173392";"";"";"";"";"";"";"";""
"173393";"";"";"";"";"";"";"";""
"173394";"";"";"";"";"";"";"";""
"173395";"";"";"";"";"";"";"";""
"173396";"";"";"";"";"";"";"";""
"173397";"";"";"";"";"";"";"";""
"173398";"";"";"";"";"";"";"";""
"173399";"";"";"";"";"";"";"";""
"173401";"";"";"";"";"";"";"";""
"173402";"";"";"";"";"";"";"";""
"173403";"5";"20";"0";"0";"10";"35";"";""
"173404";"";"";"";"";"";"";"";""
"173405";"";"";"";"";"";"";"";""
"173406";"";"";"";"";"";"";"";""
"173408";"";"";"";"";"";"";"";""
"173409";"";"";"";"";"";"";"";""
"173410";"";"";"";"";"";"";"";""
"173413";"4";"12";"0";"0";"0";"20";"";""
"173416";"";"";"";"";"";"";"";""
"173417";"1";"3";"0";"0";"0";"0";"";""
"173418";"1";"15";"0";"0";"8";"0";"";""
"173419";"";"";"";"";"";"";"";""
"173420";"0";"5";"0";"0";"0";"4";"";""
"173421";"";"";"";"";"";"";"";""
"173422";"";"";"";"";"";"";"";""
"173423";"";"";"";"";"";"";"";""
"173424";"";"";"";"";"";"";"";""
"173426";"";"";"";"";"";"";"";""
"173427";"";"";"";"";"";"";"";""
"173428";"1";"10";"0";"3";"0";"15";"";""
"173429";"";"";"";"";"";"";"";""
"173430";"";"";"";"";"";"";"";""
"173431";"";"";"";"";"";"";"";""
"173432";"";"";"";"";"";"";"";""
"173433";"";"";"";"";"";"";"";""
"173434";"";"";"";"";"";"";"";""
