"vz_int_pfk";"int_vz_maxima";"cam_vz_afe";"ope_qt_horasjan";"ope_qt_horasfev";"ope_qt_horasmar";"ope_qt_horasabr";"ope_qt_horasmai";"ope_qt_horasjun";"ope_qt_horasjul";"ope_qt_horasago";"ope_qt_horasset";"ope_qt_horasout";"ope_qt_horasnov";"ope_qt_horasdez";"ope_qt_diajan";"ope_qt_diafev";"ope_qt_diamar";"ope_qt_diaabr";"ope_qt_diamai";"ope_qt_diajun";"ope_qt_diajul";"ope_qt_diaago";"ope_qt_diaset";"ope_qt_diaout";"ope_qt_dianov";"ope_qt_diadez";"ope_vz_mesjan";"ope_vz_mesfev";"ope_vz_mesmar";"ope_vz_mesabr";"ope_vz_mesmai";"ope_vz_mesjul";"ope_vz_mesjun";"ope_vz_mesago";"ope_vz_mesout";"ope_vz_messet";"ope_vz_mesnov";"ope_vz_mesdez"
"172954";"8.0";"1";"6";"6";"0";"0";"0";"0";"0";"0";"6";"6";"6";"6";"15";"15";"0";"0";"0";"0";"0";"0";"15";"15";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"172955";"3.21";"1";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"15";"14";"15";"15";"15";"15";"15";"15";"15";"15";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"172956";"1.375";"1";"6";"6";"6";"0";"0";"0";"0";"0";"6";"6";"6";"6";"20";"20";"15";"0";"0";"0";"0";"0";"15";"20";"15";"20";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"172957";"2.5";"1";"3";"3";"3";"0";"0";"0";"0";"0";"3";"3";"3";"3";"15";"15";"15";"0";"0";"0";"0";"0";"15";"15";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"172958";"2.5";"1";"3";"3";"3";"0";"0";"0";"0";"0";"3";"3";"3";"3";"15";"15";"15";"0";"0";"0";"0";"0";"15";"15";"15";"15";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"172959";"0.526315789473684";"1";"24";"24";"24";"24";"24";"24";"24";"24";"24";"24";"24";"24";"31";"28";"31";"30";"31";"30";"31";"24";"30";"31";"30";"31";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"172960";"0.625";"1";"8";"8";"0";"0";"0";"0";"0";"0";"8";"8";"8";"8";"31";"28";"0";"0";"0";"0";"0";"0";"30";"31";"30";"31";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"172961";"0.3125";"1";"24";"24";"24";"24";"24";"24";"24";"24";"24";"24";"24";"24";"31";"28";"31";"30";"31";"30";"31";"31";"30";"31";"30";"31";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"172962";"0.3571428571428571";"1";"24";"24";"24";"24";"24";"24";"24";"24";"24";"24";"24";"24";"31";"28";"31";"30";"31";"30";"31";"31";"30";"31";"30";"31";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
"172963";"0.45454545454545503";"1";"6";"6";"0";"0";"0";"0";"0";"0";"6";"6";"6";"6";"31";"28";"0";"0";"0";"0";"0";"0";"30";"31";"30";"31";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00"
